number,comment,label
2592,"Женатым на заметку: - Зачем разводиться с первой женой, ведь и второй жене тоже рано или поздно понадобится вешать полочку...
",1
1188,"Я никогда не забываю лица, но в вашем случае я сделаю исключение.


",1
7966,"[id665447593|Эдмонд], ага, мечта всей жизни",0
6077,,0
107,"Из двух предсказаний сбудется то, которое похуже...


",1
1315,"Жениться нужно так, чтобы вашей супруге никто не сказал, что ей с вами
повезло!


",1
8187,,0
2753,"По-настоящему любить можно только живое, а по-настоящему понимать -
только то, что мертво.


",1
9753,"Ахаха, красава автор",0
6231,,0
2876,"Кто лучше в футбол играет, тот чаще целуется.


",1
5323,Лучшие!,0
799,"В деревне ""Виллариба"" уже трахаются, а в деревне ""Виллбаджо"" еще ебутся!


",1
3570,"Алкоголизм не пропьешь


",1
2894,"""CJ"" в полпервого сидишь за компом и думаешь ""ну ещё 10 минут, ну какая разница"", а разницу осознаёшь в полвторого..

",1
2927,"Компьютерщик в магазине:
- Дайте мне 21 дюйм 1,4 меговых сосисок и
1-а гиговый пакет мультимедийного сока!

",1
8178,"Слышал, что после 2 переводили без изменения курса, чтоб на 3 и после - не слышал вообще",0
971,"""Acckaya_Sotona"" то што йа с филфака видно по таму какк йа пешу

",1
6687,,0
8575,"[id308635174|Саша], и снова 3-е сентября 🥺 На фото я твоё взгляну...  У вас осталось 2 попытки из 3.   🎁 Осталось 77 призов.  Получите ещё 3 попытки, подписавшись на сообщения сообщества 💬",0
2020,"Успех мужчины измеряют по его женщине.


",1
9054,Даже в террарии меньше пикселей,0
952,"Только в российском шоу-бизнесе толстую пятидесятилетнюю тётку могут звать Лолита!

",1
5359,,0
3857,"Чем бы дитя ни тешилась - лишь бы кобыле было легче...


",1
5861,"Пишу и сопровождаю, отзывов 670+",0
3145,"если б женщина была мужчиной и наоборот - все было бы точно так <
",1
3305,"Раздел ""Гробы"" на Всемирной выставке ""Мир упаковки"".


",1
3006,"Выражение ""немного недодумали"" зачастую на практике означает - ""не думали
вообще"".


",1
9001,Лебедь,0
7770,"[id389676610|Даяна], Ваш номер участника: 24",0
7438,7,0
7942,"[id380905400|Василий], как вариант)",0
9238,🔥,0
1056,"Объявление: настоящий дачник посадит, вырастит и построит.


",1
3154,"Во второй половине 80-х, когда вполне нормальным (а главное - едва ли не предельно реальным по возможностям большинства клубов) гонораром считался ""полтинник"" - 50 рублей, среди
ленинградских клубных, как теперь бы сказали, менеджеров было
популярно следующее определение: ""Один мэтр равен ста рубл&м"".

",1
3787,"Во глубине дешевых дам - я чувствую, что я не там.


",1
9189,😉,0
7825,"[id115116|Олег], ну вот так у них🤷‍♀️",0
7539,обращайтесь,0
7231,шикарно!,0
764,"По данным статистики, внутри большинства резиновых женщин находится перегар.

",1
5019,"Когда-то он у меня преподавал! Прекрасный, харизматичный преподаватель. Многое стёрлось, его образ остался.",0
4903,"В бегах от ответственности все допинговые средства хороши.


",1
8093,,0
6843,,0
2165,"Из протокола:
В канаве лежали останки мужчины - вероятно труп.

",1
1862,"xxx: кто нибудь знает где найти такой прикол,Девушка превращается в монстра
xxx: и этот монстр издаёт рев
yyy: скажи любой, что у нее толстая жопа

",1
7850,Прекрасна 😍,0
9123,,0
2340,"schastje eto vse lish kolichestvo momentov kotorie hochetsia povtoritj.


",1
5527,"а мы тут первое место заняли на туристическом слете , между прочим 🥰🥰🥰🥰🥰☺☺☺☺",0
6743,"Смотрю, туризм побеждает))!!!",0
4003,"От дерьма отмыться конечно можно, но люди потом долго будут принюхиваться


",1
1123,"Настоящий защитник отечества должен уметь защитить себя от военкомата.


",1
8709,"В деканате нужно узнавать, но вроде как с 06.02",0
4049,"Платонический секс


",1
7640,"Это что за суки тут решалы типа пишут?Людмила Александровна Брусенская-это человек исключительного ума и безмерной порядочности и никогда, ни при каких условиях ничего не берёт!господа решалы идите в пень!!!",0
765,"Самая худшая часть некоторых мужских членов - обладатель.


",1
2344,"Наши зеркала - самые неотразимые в мире


",1
4071,"Мудрость начинается с осознания того, что ты дурак.


",1
7216,"[id439428544|Диана], ставлю все свои деньги на то, что это будет что-то нереальное!!!! 🥳🥳🥳🥳🥳",0
4216,"В армии мне сразу дали звание подсержанта...
",1
7952,,0
5970,"[id292692795|Георгий], (ну и на ИТС это тоже будет, но не в таком количестве)",0
3350,"КЛЕРАСИЛил - не осилил...


",1
4695,"Как много у нас инвалидов труда, сломавших голову на строительстве
планов.


",1
3399,"Надпись в туалете: ""Здесь в руины падают чудеса кухни"".
",1
4081,"Лучше ""грудь в крестах"", чем ""Сиськи в тесте"".


",1
9149,,0
1224,"- Чтобы привлечь к экранам телезрителей во время трансляции матчей с участием сборной России на Евро-2008, руководство Первого канала думает временно сменить Гусева на Гоблина...
",1
6292,"[id136013328|Мария], все забронировали",0
3122,"...я не злопамятный: зло сделаю и забуду...


",1
510,"У меня уже эта водка в печенках сидит!!


",1
5794,"Все пары на конкурсе этом прекрасны, Взошли на Олимп они все не напрасно... Но ярче, на фоне других, Посейдон, и Гея,  хранимая шелестом волн.",0
8181,"[id147079550|Илья], да и вообще не берите клавиатуры, используйте мобайл фоны))",0
9417,"Дождаться больничного преподавателя и очень сильно просить срочно сдать у другого (не факт, что не назначат более принципиального) А вообще два раза не сдать и на третий будет комиссия из 3 человек. Там точно другие подтянутся",0
96,"Искусство - это сумасшествие, признанное эстетами.


",1
6681,"[id508253721|Kick], что случилось вообще бро :(",0
1512,"Практика показала - Бога нет, но вездесуща Его функция.


",1
8791,"[id217531287|Артем], к сожалению, удача не на вашей стороне :(  но вы можете зайти к нам (3239а) за конфеткой в качестве утешительного приза",0
119,"Эротические воспоминания ханской наложницы: ""Как на Коле Пуликовом""...


",1
7791,Не зря цифровое развитие стало лучшим проектом сезона,0
6517,"[id237816408|Дмитрий], чтобы участвовать в конкурсе, необходимо поставить лайк.",0
33,"Не верьте девичьим слезам - ведь крокодилы тоже плачут.

",1
7887,"[id184522895|Soslan], 💪😊",0
6830,"[id228379079|Екатерина], спасибо! 🥰❤️‍🔥 Надеюсь, ты получила удовольствие от прослушивания!",0
5421,Ученый Размышления  Саморазвитие,0
1068,"Союз нерушимый республик свободных
Сплотила навеки великая ГРУСТЬ...


",1
1347,"Типун вам на ваш великий и могучий русский язык!


",1
4747,"Жить в нужде - это еще не самое плохое, самое плохое - это жить
в нужнике!


",1
6005,"Очень жалко, Надежда Михайловна была светлым, добрым человеком. Она останется в памяти коллег и многочисленных учеников. Царствие небесное.",0
6039,8441,0
3817,"В любви все возрасты проворны.


",1
8446,Увы,0
5269,,0
6897,,0
5309,С днем рождения!🎉,0
31,"Если кто-то говорит вам, что бедность не порок, просто предложите ему
поменяться местами.


",1
5674,"[id74239228|Влад], Ай, Юля - Юля, она девочка красотка😅❤",0
4386,"Когда совесть спит, ей снятся сны о справедливости.


",1
29,"Жадность порождает бедность.


",1
4202,"Для одних деньги цель жизни, у других они уже есть.


",1
7507,,0
735,"Милые трахаются - только тешатся!!


",1
2067,"Перекуем шептунов на орало!


",1
106,"Гости пришли по-английски - не здороваясь!

",1
9644,,0
8894,Вискарик 🥰,0
8020,"[id443966875|Александра], вы наверно что-то слышали или смотрели какие-то ролики с ютуба?) есть категории товаров на которые цена чуть выше, все остальное также.",0
2232,"(с) Это только в первый раз стыдно и страшно, потом хочется все больше и
больше, все чаще и чаще !


",1
993,"Не бывает идейных врагов, вражда уже сама по себе безыдейна.


",1
9412,"[id467696246|Нина], выпускники тоже смогут посетить встречу, им нужно будет иметь при себе паспорт",0
7058,Хочу закрывать физру турнирами по Пабгу!!!!!,0
6789,,0
360,"Если во время охоты вы ни в кого не попали, значит, в лесу стало одним косым больше.

",1
304,"Встречаются два мужика, один другому и говорит:- Прикинь, выхожу я вчера совершенно трезвый из кабака, так мне к томуже ещё какая-то сволочь на галстук наступила!
",1
2627,"- А где-то тут стоял мой ядерный чемоданчик?
",1
8965,МАИ FM),0
4513,"Он был воспитан в духе марксизма-бандитизма...


",1
5910,"по праву, биоэтике, информатике, духовным основам обязательно, еще бжд, философии (это самое главное!)",0
8313,Родительское собрание будет или нет?,0
3100,""""" TuborG """" я пони"""" FIM """" обоснуйте

",1
5703,"Мужик - не бычок на верёвочке ""Увести"" его нельзя Если ушёл, значит сам так решил",0
3898,"Cовесть просыпается во сне.


",1
5440,,0
7930,"[id437595595|Александр], БРОООО",0
621,"После правильного развода мужу должны остаться только рога.


",1
7235,✨,0
2498,"Пипл сначала все схавает, а потом все поносит.


",1
713,"Меню:
Булочка ""Каменный гость""
Чай ""Белые ночи""
Конфеты ""Гранит науки в шоколаде""
Бифштекс ""Дожуем до понедельника""
Котлеты ""Доживем до понедельника""
",1
8403,,0
2855,"Рог изобилия - это когда жена изменяет с миллиардером.


",1
4269,"Думать ни о чем и ни о чем не думать - это 2 большие разницы


",1
2908,"копейка - рубль бережет, а цент - все остальное


",1
8080,,0
4516,"Если нет никакого отбоя от девок, то приходится как нибудь засыпать
без них.


",1
1261,"Не доказывай прапору что земля круглая, заставит разравнивать!!


",1
3160,"Деньги - это прежде всего возможность их тратить.


",1
970,"Все уже скачано до нас.


",1
3912,"Москвач - московский шоферюга


",1
5198,"да она насильника ищет, расслабься",0
8846,Регистрироваться нужно по обеим ссылкам или достаточно одной?,0
259,"""HeaDacHe"" нет, просто по таким фразам складывается впечатление, что гугл - это такое хранилище документации по всему (хотя они к чему-то подобному и стремятся) :)""sylph"" инет - это такая огромная свалка всякого г, гугл - это типа старожила, ориентируется на местности

",1
3790,"Если на Вашем лице уже видна искусственная кожа, пора уходить из
искусства.


",1
9202,,0
487,"Авангардисты публику эпатировали - публика чуть позже авангардистов
этапировала.


",1
7907,"[id200310377|Ксения], самые любимые кураторы ❤️‍🩹",0
518,"Встретили по паспорту, а выпроводили по морде.


",1
8342,,0
311,"Вы здесь работаете, или Вас просто показвают?


",1
3231,"От одного его поцелуя я захмелела, как от трёх бутылок водяры...

",1
7932,,0
7457,"Мда, рутуб это, конечно, сильно",0
9783,А это что за фильм?,0
5183,"[id659312051|Светлана], желаем удачи при поступлении!",0
8076,Пиши в личное,0
6501,Но type-c тоже usb,0
6790,"[id555969386|Ильдар], ты единственный кто меня фоткает брат❤❤",0
7772,,0
2737,"Для оправдания средств нужна хорошая цель, для оправдания цели -
хороший адвокат.


",1
7841,,0
6261,,0
8205,"[id480993232|Andrey], забей, бессмысленно что то объяснять",0
1247,"Пока мы ругаем жизнь, она проходит...


",1
9335,,0
4194,"Из сообщений на пейджер:
""Зайка, мы тут тебя ждем, я и свинина""

",1
8000,Я буду слушать это бесконечно,0
7377,,0
3434,"Женщины делятся на два класса: трясогузки и трясогрудки.


",1
5381,огромное спасибо спонсором💗💗,0
958,"Аттестат Школы Жизни выдают после Cмерти.


",1
416,"Самая трудная задача для женщины - доказать мужчине серьёзность его намерений.

",1
5741,"[id78110746|Андрей], поддерживаю. Раньше хоть ярким и цветастым было, а сейчас... Вчитывайся, разбирайся, привыкай... Да и вообще — делай с ним всё, кроме того, ради чего скачивал его",0
6727,"1 система МРС (балльная)  2 5,иногда 6 3 50 на 50 кто то учит, кто то нет 4 хорошо 5 более менее 6 вопрос непонятный",0
4381,"В природе все продумано - уж если с лица женщины воду не пить,
то и мужчина особой жажды не испытывает.


",1
5196,Э,0
1112,"Лучше иногда быть в жопу пьяным, чем всегда – в жопу трезвым.


",1
2688,"СПАМ – современный метод рекламы, позволяющий сообщить за минимальные сроки максимальному количеству людей информацию о том, что в Вашей фирме совсем хреново с деньгами.

",1
6472,,0
8819,"[id307291533|Дмитрий], ну там было довольно надежно спрятано но реально я хз, я хотел в 2022 году летом съездить забрать, были такие планы с 2020 года но видишь как всё пошло",0
7807,,0
3410,"Из сочинения:Сзади у поросят находится кудрявый хвостик, по которому их отличают отдругих домашних животных.
",1
80,"Я наебнулся, посмотрев - не наебнулась ли она, смотря на то -
не наебнулся ли я.


",1
4613,"Если вы по уши в дерьме, перестаньте ходить на головах


",1
1373,"Если щук много, то без разницы дремлет карась или нет.


",1
1509,"Петров-Водкин:""Купание Красного меня"".


",1
6442,,0
3070,"Появилась новая общественная организация вегетарианцев-мазохистов, они едят мясо и очень от этого мучаются.

",1
3015,"Настоящий джентльмен всегда поможет даме в трудную минуту, когда он видит, что та не может самостоятельно раздеться.
",1
4822,"Чем тяжелее работа, тем легче на нее устроиться...


",1
7821,,0
92,"Компьютер думает так, как думает его хозяин.


",1
9420,"[id231301210|Одиссей], ага...",0
6599,,0
4442,"Хорошему коту и в декабре март.


",1
7601,"[id156942718|Анастасия], спасибо)",0
3834,"Миниатюрная девушка, постоянно подпрыгивая, заходит к гинекологу:
- Доктор, может, мне все-таки того, укоротить спираль?..
",1
9701,"[club22941070|Уральский федеральный университет | УрФУ], мало верится)",0
4321,"Якщо б до ковбасы крыла -
то нэ було б у свити кращого птаха.


",1
3393,"Надпись на лобовом стекле автомобиля: ""МАШИНУ ОХРАНЯЕТ КЛОП-СПИДОНОСЕЦ""

",1
4751,"В человеке все должно быть прекрасно: и душа, и тело, и лицо кавказской
национальности


",1
7228,Мухам 💪💪💪,0
9190,"[id46440406|Андрей], хм",0
2360,"Люди часто меняют деньги, а деньги в отместку меняют людей.


",1
1147,"Кончил дело - гуляй, Вася!


",1
5665,"[id433346317|Бахту], Рабочая схема))) И переживать не надо 😂",0
8074,"[id215573462|Анастасия], напиши в лс😉",0
4942,"Продается панамка, детская, чугунная, с дырочками для косичек
",1
3662,"больной говорит доктору:""я хочу пи-пи""
врач говорит:""сестра принесите больному кря-кря"".

",1
1562,"* Garm захотел в коллекцию альбом Machetazo ""Trono De Huesos""""Garm"" хотя бы из-за названия :)

",1
4112,"Жизнь без риска, что колено без мениска


",1
9049,"[id645985541|Miuki], да да шутер как Степаненко",0
9275,,0
8537,"При нынешнем качестве образования (""три пишем - два в уме... А он вообще и на занятия ходил?) всё останутся голодными!",0
794,"Фактор траха


",1
5853,"Приходишь как в заброшку какую-то У вас практика будет, горбунов вести будет - офигенный мужик",0
7618,4 курс.,0
1593,"Маленький мальчик писать хотел, Дырку в заборе он приглядел, Струйка попала на провода Больше не писал он никогда.
",1
7417,[id292208387|Дарья] [id569761978|Диана],0
5266,,0
7146,"[id163800715|Кирилл], ха-ха",0
88,"Молчащая женщина неуязвима.


",1
8694,Волкова 22фил1,0
9731,,0
9445,,0
6753,"Если бы душнила красивый, то это другое дело, а тут ужас, просто живи с этим 😵‍💫",0
3501,"""raider"" я больше всего люблю спать и гулять с друзьями :)""hola"" любишь спать с друзьями?

",1
2233,"медведов бояться, в лесу не ебаться


",1
2802,"На последнем концерте Петросян, отчаявшись, бросился щекотать зрителей.

",1
4423,"Да до начальника тебе еще какать и какать!


",1
5662,Был опыт!,0
7169,Игорь Доленков - краш всех крашей 😍😍😍,0
8336,заработать денег,0
2147,"Эпатаж с места событий.


",1
7968,Я в любви 🥰,0
6550,с днём рождения 🫂🥳,0
7642,,0
6163,"Да, в мгупе кстати самые лучшие it специальности, трудоустройство, любые средства, лучшее оборудование. Если еще и в 7 общагу попадешь, уфаааалаааааааа комбо бомбо",0
1494,"И лечиться веселее в ЛТП семьею всею !!!


",1
7695,"надо наоборот копить очень много денег, в конце года поймёшь почему",0
7093,"Выполняю работы по переходным процессам😉 Закончил магистратуру Санкт-Петербургского Политеха, обращайтесь",0
1408,"Ненавижу тех, кто помнит, что было на пиру


",1
6690,"[id97631109|Владимир], ого, даже приоритета нет, тогда круто",0
3400,"Колдуны колдуют волшебной палочкой,
а колдуньи - волшебной дырочкой

",1
108,"Утро - это такая часть суток, когда завидуешь безработным...

",1
5635,,0
8481,Павлова Елена Олеговна тел.89319730014 2 билета,0
6603,ВАРШВКА,0
1090,"Главное - чтобы киндер не оказался сюрпризом!!!


",1
5559,,0
9411,Даша😍😍🔥🔥🔥,0
8142,,0
8663,Познавательно !,0
6595,,0
623,"Люблю я краткость - сестру мою!


",1
6870,Спиридонова Вероника Ивановна,0
4813,"С кем поведешься, туда и деньги пропадают.


",1
6552,,0
7529,"[id280248530|Агнесса], если хочется посмотреть статистику, можно голоснуть и отменить голос 🤔 а так зачем эта опция в опросе для знакомств... типа... кто не хочет, тот не участвует 😅 Но статистика пока такая",0
5795,Лёгкая Атлетика❤️‍🔥❤️‍🔥❤️‍🔥,0
7436,4,0
4217,"Здравствуйте, Вас приветствует служба ""Секс по телефону"": ""Ждите оргазма, Ждите оргазма""
",1
5940,"... и видит МТУСИ. — Хм, пора покушать...",0
8500,Лучшие девочки 😍,0
6428,С Днём рождения Мария Николаевна ❤❤❤,0
6826,,0
4130,"Трудно быть боком.


",1
7801,,0
7753,,0
4721,"""Фраги не пахнут""-сказал геймер, затаскивая тело своего товарища по команде за угол.

",1
1650,"Я китель снял, значит, будет не холодно.
",1
4140,"Из всех писков моды белые тапки – самый последний...

",1
1617,"Гипнос - бог сна, Наркоз - бог кайфа...


",1
2029,"Кто хочет ищет средства, кто не хочет ищет причины


",1
8517,красотень какая😩❤️‍🔥,0
4575,"Секс как и сон зависит от желания, а не от времени суток.


",1
3992,"Новый лозунг пацифистов:

В жопу зло!


",1
7376,,0
6149,"[id135787930|Миша], tolerance",0
4908,"Фраза одной из подруг: ""Мужчина, вы мне должны оргазм, но можно и
деньгами"".


",1
5026,"[id94273907|Кристина], привет, добавь меня тоже, пожалуйста",0
8260,Типичный первокурсник,0
4731,"Баба с возу - коню легче, если это последняя баба.


",1
7548,{Каждый миг — это шанс},0
8134,"[id379636779|Наталья], off",0
1606,"Найдите такую компанию где всем весело, и уже там делайте что хотите !


",1
4773,"Свое последнее лицо Майкл Джексон купил в магазине ""Мир кожи в Сокольниках"" =)
",1
8109,,0
6951,"Желаю успехов, удачи! 💐",0
6004,"[id502514263|Диана], это предсказание уже раскрыто 😌  Выберите другой номер  💫 Осталось 111 предсказаний.  Получите ещё 5 предсказаний, сделав репост этой записи 📣",0
7728,самые лучшие!,0
3541,"Не можешь пинать мячик - пинай балду!


",1
388,"Сын начальника продовольственной службы соединения спрашивает у отца: - Папа, а почему у всех людей около гаража щебёнка насыпана, а у нас гречка?
",1
1794,"Не надо раньше времени бежать впереди паровоза!

",1
8731,Ксюша наша Мисс😍❤,0
4919,"Афоризм - это психотерапия.


",1
5537,"[id231667304|Влад], коллективно писать жалобу более вышестоящему начальству",0
3872,"Смех без причины - это значит, что или вы полный идиот, или хорошенькая девушка.

",1
8868,"[id58363110|Ескендир], спасибо",0
2254,"Я мог бы выдавить из себя раба, но рабовладельца – ни за что!


",1
3412,"В Амстердаме из-за урагана """"Кирилл"""" совершил аварийную посадку пассажирский поезд Москва - Нью-Йорк.

",1
5459,"[id346175437|Соня], красивые уголки нашей страны! 😍",0
4955,"Миротворческая акция НАТО в Югославии: - Покойтесь с миром...


",1
7396,"[id550405074|Denis], погнали в аспирантуру туда, узнаем какого там)",0
5414,,0
7399,,0
7414,"[id153290828|Анна], и снова 3-е сентября 🥺 На фото я твоё взгляну...  У вас осталось 4 попытки из 16.   🎁 Осталось 77 призов.",0
9100,"Стоит учиться в Гнесинке, чтобы получать подобные достойные предложения",0
4851,"Все-таки Господь Бог играет в кости, но по-правилам им же самим и
придуманым (статистика и вероятность).


",1
2025,"Супружество это борьба сначала за объединение потом за равноправие и затем за независимость .


",1
2615,"Кошки сами по себе: они никогда не опускаются до того, чтобы уставать
как собаки.


",1
7388,"[id28841264|Optimus], Это на конкурсы разного рода) Что бы не в убыток себе, пиццы увы бесплатно не делают нигде",0
2926,"Еблоторговля


",1
1121,"Кипит маразм возмущенный!


",1
2910,"В Росии две беды - дураки и дороги, а в Америке две радости - умники и
бездорожье.


",1
8146,"[id683290|Алексей], команда КВН понаехали была ещё круче",0
7383,"[id385402573|Назар], я уже догоняю",0
3482,"Сделал дело - люби и саночки возить.


",1
795,"Чем сильнее ветер в голове, тем больше вылетает слов.


",1
1575,"Верх цинизма - давать взятку в конвертике с окошком.


",1
6176,"От всей души поздравляю Вас с  высокой,заслуженной наградой,уважаемый Роман Евгеньевич!!!👏👏👏👏👏",0
6266,"ФФКЭ- серферы (осваивают квантовые теории волны) /коты шрёдингера (формально, живы лишь наполовину)",0
2458,"Лучше день потерять, чем за час залететь.


",1
3312,"Не бери в голову - поболит-поболит и отвалится.


",1
1253,"Больше всего воспоминаний остается о любви без памяти.


",1
6834,,0
8794,"О, да у нас много общего",0
3837,"tramp67:
Есть отличия  Но неужели ты откажешься от тонкого эротического наслаждения
Merl:
о, тонкое эротическое наслаждение, это привязать мужчину к креслу, отрезать доступ к телевизору, компу и газете и 3 часа рассказывать как у меня прошел день, что сказала светка фролова, и какие скидки в успенском

",1
4398,"Картина Пикассо ""Девочка на шару""


",1
3595,"Стоит только один раз подать повод,
и вас обязательно попросят подать кнут !


",1
6621,А кружок верховой езды?,0
8382,,0
2124,"Майкрософт объединяет все свои операционные системы: Windows CE + Windows ME + Windows NT = Windows CEMENT

",1
3238,"В 19 лет стоячая грудь - стандартная комплектация


",1
5403,Особенно показательна трансформация выражения лица у [id38725661|Иван] 😄,0
5998,,0
5938,Кто боится не поступить. Совет могу дать),0
2045,"Табличка на дверях ФСБ: ""Стучите"".

",1
1578,"Мальчик лет трех угощает друга конфетами:
- Возьми сколько хочешь, только немного.

",1
14,"Eсли мужик - жеребец, это не значит, что на нем можно ездить!!


",1
2673,"Чем старые обои отличаются от девушек:
старым обоям не обязательно говорить, что ты их любишь перед тем как отодрать...

",1
7016,,0
8720,"Халява,приди!",0
8849,С удовольствием бы сходила на любой из заявленных концертов!,0
4812,"""Подарки на 23-е февраля, это инвестиции в подарки на 8-е марта"" (с)


",1
1084,"Ток-Шоу ""Windows"" с Дмитрием Нагиевым.

",1
4983,"Русский народный лобок

бы побрил ей задницу и заставил ходить задом наперед.


",1
7155,"Если ХХ век подразумевает ""проблемы истории европы ХХ века"", то очень классный курс. Закрыться проблемы нет, пары интересные, препод очень приятный",0
2884,"Парадокс: Самые трезвые мысли приходят после алкоголя.


",1
333,"Ремонт - это стихийное бедствие, совершенное группой лиц по предварительному сговору.
",1
7204,данара❤️❤️❤️❤️❤️❤️💋💋💋💋❤️❤️❤️🔥🔥🔥🔥🔥,0
4367,"НЕ надо ДАРМОТИЗИРОВАТЬ !!!


",1
3079,"В море:
- уходите с нашего курса, это судно водоизмещением три тысячи тонн;
- сами уходите, это маяк!

",1
7203,,0
9909,+,0
8864,"[id100051937|Александр],",0
263,"Объявление на кладбище:
""Рвать цветы разрешается только на своих могилах"".

",1
4337,"""tuzik"" Вам хорошо, а я книжку издательства ""Баян"" читал...

",1
8895,Ворожцов ПЛиТА21,0
8447,,0
5903,"[id69759026|Семён], это преподаватель с альма-матер, так сказать, институт ИМЕНИ Е.Е?",0
1498,"Мечтой идиота чаще всего бывает жена соседа.


",1
